id,sku_id,category,channel,supplier,is_core,gross_margin_pct,moq,unit_cost,created_at,updated_at
1,SKU000,Accessories,Wholesale,Supplier_A,0,30.968131251586,392,48.0329172910828,2026-06-01 07:24:55.262035,2026-06-01 07:24:55.262039
2,SKU001,Accessories,Wholesale,Supplier_D,0,27.6018644895118,138,57.6874153092302,2026-06-01 07:24:55.262042,2026-06-01 07:24:55.262043
3,SKU002,Apparel,Wholesale,Supplier_A,0,44.1704805624814,479,41.9470703602054,2026-06-01 07:24:55.262044,2026-06-01 07:24:55.262045
4,SKU003,Shoes,DTC,Supplier_D,0,38.9275179055381,387,39.4002860315919,2026-06-01 07:24:55.262047,2026-06-01 07:24:55.262048
5,SKU004,Shoes,Wholesale,Supplier_B,0,29.3684079757248,473,21.8933170008005,2026-06-01 07:24:55.262049,2026-06-01 07:24:55.262050
6,SKU005,Apparel,DTC,Supplier_C,1,64.658179911495,195,59.3009919732438,2026-06-01 07:24:55.262051,2026-06-01 07:24:55.262052
7,SKU006,Accessories,Wholesale,Supplier_B,0,32.1828291347841,375,30.1876915296477,2026-06-01 07:24:55.262054,2026-06-01 07:24:55.262055
8,SKU007,Accessories,DTC,Supplier_A,1,47.0218065094067,125,47.4132966069265,2026-06-01 07:24:55.262056,2026-06-01 07:24:55.262057
9,SKU008,Apparel,Wholesale,Supplier_C,1,46.7461239581748,90,73.1386498796401,2026-06-01 07:24:55.262058,2026-06-01 07:24:55.262059
10,SKU009,Accessories,DTC,Supplier_B,1,50.8423286929249,198,59.5558222595098,2026-06-01 07:24:55.262061,2026-06-01 07:24:55.262062
11,SKU010,Apparel,Wholesale,Supplier_B,0,26.3733358320055,331,26.7804877672246,2026-06-01 07:24:55.262063,2026-06-01 07:24:55.262064
12,SKU011,Apparel,Wholesale,Supplier_C,0,40.6637408195515,385,42.7241963522254,2026-06-01 07:24:55.262065,2026-06-01 07:24:55.262066
13,SKU012,Shoes,Wholesale,Supplier_B,0,30.5684780081613,106,54.9344950138019,2026-06-01 07:24:55.262068,2026-06-01 07:24:55.262069
14,SKU013,Apparel,DTC,Supplier_C,1,60.9895738300185,135,70.6298137232988,2026-06-01 07:24:55.262070,2026-06-01 07:24:55.262071
